url_length,domain_length,has_www,count_digits,count_letters,count_hyphens,tld_length,has_contact_page,payment_credit_card,payment_modern,payment_crypto,vorkasse_only_risk,email_type,has_logo,domain_age_days,ssl_valid
21,13,1,0,16,0,2,1,1,1,0,0,2,1,0,1
19,11,1,0,14,0,2,1,0,0,0,0,0,1,0,1
19,11,1,0,14,0,2,1,1,1,0,1,2,1,0,1
22,14,1,0,17,0,2,0,0,0,0,0,0,1,0,1
25,17,1,0,20,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
21,13,1,0,16,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
24,16,1,0,19,0,2,1,0,1,0,1,0,1,0,1
32,24,1,0,27,0,2,1,0,0,0,0,0,0,0,1
24,16,1,0,19,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
21,13,1,0,16,0,2,1,1,1,0,0,0,1,0,1
22,14,1,0,17,0,2,1,1,1,0,1,0,1,0,1
26,18,1,0,21,0,2,1,0,0,0,0,2,1,0,1
24,16,1,0,19,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
26,12,1,0,19,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
24,16,1,0,19,0,4,-1,-1,-1,-1,-1,-1,-1,0,1
17,9,1,0,12,0,2,0,0,0,0,0,0,1,0,1
23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
19,11,1,0,14,0,2,1,1,1,0,0,0,1,0,1
30,22,1,0,24,1,2,1,1,1,0,0,2,1,0,1
19,11,1,0,14,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
20,12,1,0,15,0,2,0,0,0,0,0,0,0,0,1
31,23,1,0,25,1,2,-1,-1,-1,-1,-1,-1,-1,0,1
25,17,1,0,20,0,2,1,1,1,0,0,2,1,0,1
21,13,1,0,16,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
24,13,1,0,18,0,3,1,0,0,0,0,0,1,0,1
31,17,1,0,24,1,3,1,0,0,0,0,0,1,0,1
23,12,1,0,17,0,3,1,0,0,0,0,0,1,0,1
21,13,1,0,16,0,2,0,0,0,0,0,0,1,0,1
23,15,1,0,18,0,2,1,1,1,0,0,0,1,0,1
22,14,1,0,17,0,3,1,1,1,0,0,0,1,0,1
22,14,1,0,17,0,2,1,1,1,0,0,0,1,0,1
24,16,1,0,19,0,2,1,1,1,0,0,0,1,0,1
21,13,1,0,16,0,2,1,0,0,0,0,2,1,0,1
19,11,1,0,14,0,2,1,1,1,0,0,2,1,0,1
20,12,1,0,15,0,2,0,0,0,0,0,0,0,0,1
23,15,1,0,18,0,2,1,1,1,0,1,2,1,0,1
18,10,1,0,13,0,2,1,1,1,0,0,0,1,0,1
22,14,1,0,17,0,2,0,0,0,0,0,2,0,0,1
22,14,1,0,17,0,2,0,0,0,0,0,0,0,0,1
22,14,1,0,17,0,2,0,0,0,0,0,0,0,0,1
25,17,1,0,20,0,2,1,1,1,0,0,0,1,0,1
22,14,1,0,17,0,2,1,0,0,0,0,0,1,0,0
23,15,1,0,18,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
23,12,1,0,17,0,3,0,0,0,0,0,0,0,0,1
26,12,1,0,19,1,3,-1,-1,-1,-1,-1,-1,-1,0,1
25,17,1,0,20,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
