domain,url_length,domain_length,has_www,count_digits,count_letters,count_hyphens,tld_length,has_contact_page,payment_credit_card,payment_modern,payment_crypto,vorkasse_only_risk,email_type,has_logo,domain_age_days,ssl_valid
amazon.de,21,13,1,0,16,0,2,1,1,1,0,0,2,1,0,1
ebay.de,19,11,1,0,14,0,2,1,0,0,0,0,0,1,0,1
otto.de,19,11,1,0,14,0,2,1,1,1,0,1,2,1,0,1
zalando.de,22,14,1,0,17,0,2,0,0,0,0,0,0,1,0,1
mediamarkt.de,25,17,1,0,20,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
saturn.de,21,13,1,0,16,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
alternate.de,24,16,1,0,19,0,2,1,0,1,0,1,0,1,0,1
notebooksbilliger.de,32,24,1,0,27,0,2,1,0,0,0,0,0,0,0,1
cyberport.de,24,16,1,0,19,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
conrad.de,21,13,1,0,16,0,2,1,1,1,0,0,0,1,0,1
thomann.de,22,14,1,0,17,0,2,1,1,1,0,1,0,1,0,1
bergfreunde.de,26,18,1,0,21,0,2,1,0,0,0,0,2,1,0,1
decathlon.de,24,16,1,0,19,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
ikea.com,26,12,1,0,19,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
hornbach.de,23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
bauhaus.info,24,16,1,0,19,0,4,-1,-1,-1,-1,-1,-1,-1,0,1
dm.de,17,9,1,0,12,0,2,0,0,0,0,0,0,1,0,1
rossmann.de,23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
apotheke.de,23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
lidl.de,19,11,1,0,14,0,2,1,1,1,0,0,0,1,0,1
aldi-onlineshop.de,30,22,1,0,24,1,2,1,1,1,0,0,2,1,0,1
rewe.de,19,11,1,0,14,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
edeka.de,20,12,1,0,15,0,2,0,0,0,0,0,0,0,0,1
